ResultMeasureValue,ActivityStartDate,hour,doy,MonitoringLocationIdentifier,LatitudeMeasure,LongitudeMeasure,ProjectIdentifier,WVHT,WTMP,beach_angle,Water Level,DNI_1,WindDir,WindSpd,SLP,AirTemp,visibility,wet3,wet7,3T,7T,tide_gtm,tide_mean,awind,owind
2.0,2014-04-08,10,98,CABEACH_WQX-IB-060,32.5856785,-117.13304,CA134387,1.21,17.8,268.0,3.569,248,310.0,3.1,1019.3,24.4,16093.0,0.0,1.0,0.0,7.9,1,3.2487358259183208,2.17,2.17
124.0,2014-09-30,10,273,CABEACH_WQX-MB-205,32.77605,-117.2382,CA211999,0.93,22.9,15.0,0.12,1499,360.0,0.0,1011.5,22.8,14484.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,-0.0,0.0
20.0,2014-12-16,10,350,CABEACH_WQX-IB-060,32.5856785,-117.13304,CA134387,1.78,18.6,268.0,3.447,1622,130.0,3.1,1017.6,15.6,16000.0,0.0,1.0,0.0,15.9,1,3.2487358259183208,-2.17,-2.17
111.0,2014-10-15,10,288,CABEACH_WQX-MB-060,32.7884,-117.2096,CA891580,0.87,23.6,221.0,1.807,34,350.0,3.6,1016.4,21.7,16093.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,2.8800000000000003,-2.16
2.0,2014-06-17,10,168,CABEACH_WQX-IB-060,32.5856785,-117.13304,CA134387,1.14,21.0,268.0,6.961,5078,220.0,0.0,1014.8,21.1,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-0.0,0.0
2.0,2014-07-15,10,196,CABEACH_WQX-IB-060,32.5856785,-117.13304,CA134387,0.87,22.0,268.0,0.688,3296,240.0,2.6,1018.3,21.1,16093.0,0.0,0.0,0.0,0.0,0,3.2487358259183208,-1.3,2.3400000000000003
28.0,2014-09-09,10,252,CABEACH_WQX-IB-020,32.5434095,-117.12522,CA809706,1.24,24.0,259.0,4.933,5759,240.0,1.5,1013.5,27.8,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-0.4499999999999999,1.35
94.0,2014-09-09,10,252,CABEACH_WQX-IB-010,32.53595,-117.1243,CA809706,1.24,24.0,264.0,3.336,5759,240.0,1.5,1013.5,27.8,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-0.6000000000000001,1.35
2.0,2014-04-15,10,105,CABEACH_WQX-IB-050,32.5665772,-117.1332,CA068221,1.03,17.9,267.0,3.569,496,240.0,1.5,1015.2,16.7,9656.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-0.75,1.35
4.0,2014-03-25,10,84,CABEACH_WQX-IB-030,32.555139,-117.12932,CA104746,0.97,19.5,239.0,5.865,562,250.0,3.1,1017.0,16.7,16093.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,0.6200000000000001,3.1
10.0,2014-01-15,10,15,CABEACH_WQX-EH-010,32.5726652,-117.1332,CA068221,0.87,15.7,266.0,3.569,0,280.0,1.5,1023.1,22.8,16000.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,0.3,1.5
120.0,2014-12-27,10,361,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,1.08,17.5,262.0,6.728,104,200.0,1.5,1027.2,12.8,16000.0,0.0,0.0,0.0,0.0,1,3.2487358259183208,-1.35,0.75
480.0,2014-12-16,10,350,CABEACH_WQX-FM-010,32.7561,-117.25357,CA316627,1.45,18.6,262.0,7.532,1622,130.0,3.1,1017.6,15.6,16000.0,0.0,1.0,0.0,15.9,1,3.2487358259183208,-2.17,-2.17
2.0,2014-02-04,10,35,CABEACH_WQX-IB-050,32.5665772,-117.1332,CA068221,1.83,16.1,267.0,5.96,6261,160.0,1.5,1019.6,15.0,16000.0,1.0,1.0,2.5,2.8000000000000003,1,3.2487358259183208,-1.5,-0.4499999999999999
