method,NB-NB,NB-CB,NB-SB,CB-NB,CB-CB,CB-SB,SB-NB,SB-CB,SB-SB,chi-chi,chi-san,san-chi,san-san
RF,0.334,0.426,0.323,0.326,0.358,0.317,0.368,0.462,0.311,0.374,0.747,0.528,0.597
RF-FA,0.330,0.360,0.312,0.325,0.406,0.311,0.329,0.353,0.311,0.495,0.588,0.374,0.655
RF-BW,0.324,0.391,0.315,0.313,0.361,0.301,0.340,0.419,0.306,0.376,0.587,0.375,0.598
RF-CORAL,0.358,0.475,0.330,0.328,0.357,0.326,0.368,0.479,0.319,0.409,0.747,0.511,0.615
RF-SA,0.353,0.456,0.333,0.326,0.354,0.308,0.353,0.443,0.313,0.376,0.799,0.448,0.614
XG,0.341,0.436,0.361,0.350,0.402,0.353,0.419,0.510,0.353,0.378,0.760,0.449,0.593
XG-FA,0.349,0.391,0.341,0.329,0.421,0.339,0.334,0.393,0.330,0.557,0.616,0.362,0.617
XG-BW,0.340,0.402,0.339,0.341,0.382,0.331,0.359,0.448,0.335,0.378,0.615,0.365,0.595
XG-CORAL,0.378,0.468,0.358,0.359,0.395,0.352,0.424,0.513,0.355,0.418,0.777,0.444,0.576
XG-SA,0.372,0.456,0.362,0.366,0.393,0.344,0.372,0.473,0.341,0.380,0.813,0.483,0.606
TN,0.364,0.443,0.325,0.334,0.358,0.319,0.386,0.471,0.331,0.421,1.018,0.623,0.624
TN-FA,0.356,0.422,0.334,0.340,0.368,0.319,0.373,0.404,0.321,0.536,0.594,0.422,0.683
TN-BW,0.360,0.405,0.355,0.347,0.396,0.324,0.389,0.432,0.334,0.461,0.650,0.439,0.611
TN-CORAL,0.349,0.451,0.320,0.348,0.369,0.323,0.386,0.465,0.327,0.462,0.784,0.572,0.702
TN-SA,0.337,0.421,0.326,0.333,0.354,0.332,0.368,0.425,0.319,0.431,0.809,0.586,0.688
