method,NB-NB,NB-CB,NB-SB,CB-NB,CB-CB,CB-SB,SB-NB,SB-CB,SB-SB,chi-chi,chi-san,san-chi,san-san
RF,0.333,0.426,0.324,0.326,0.359,0.317,0.367,0.463,0.311,0.373,0.733,0.526,0.597
RF-FA,0.332,0.363,0.304,0.319,0.426,0.303,0.319,0.366,0.308,0.493,0.595,0.375,0.670
RF-BW,0.321,0.389,0.309,0.313,0.368,0.3,0.333,0.426,0.308,0.374,0.594,0.376,0.597
RF-CORAL,0.36,0.476,0.331,0.329,0.354,0.328,0.367,0.48,0.319,0.420,0.724,0.506,0.632
RF-SA,0.353,0.455,0.333,0.325,0.354,0.308,0.353,0.442,0.313,0.377,0.790,0.451,0.610
XG,0.341,0.436,0.361,0.35,0.402,0.353,0.419,0.51,0.353,0.376,0.751,0.454,0.593
XG-FA,0.356,0.376,0.33,0.327,0.442,0.333,0.328,0.407,0.334,0.572,0.623,0.361,0.626
XG-BW,0.341,0.401,0.336,0.343,0.384,0.342,0.348,0.449,0.335,0.376,0.620,0.365,0.595
XG-CORAL,0.378,0.468,0.358,0.359,0.395,0.352,0.424,0.513,0.355,0.429,0.749,0.443,0.575
XG-SA,0.372,0.456,0.362,0.366,0.393,0.344,0.372,0.473,0.341,0.383,0.794,0.487,0.605
TN,0.364,0.443,0.325,0.334,0.358,0.319,0.386,0.471,0.331,0.424,0.847,0.587,0.632
TN-FA,0.354,0.42,0.322,0.346,0.368,0.333,0.371,0.4,0.313,0.554,0.589,0.408,0.680
TN-BW,0.352,0.397,0.353,0.337,0.384,0.316,0.38,0.391,0.32,0.449,0.651,0.465,0.623
TN-CORAL,0.349,0.451,0.32,0.348,0.369,0.323,0.386,0.465,0.327,0.468,0.803,0.571,0.639
TN-SA,0.337,0.421,0.326,0.333,0.354,0.332,0.368,0.425,0.319,0.457,0.799,0.584,0.721
